Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Unemployment_rate,Inflation_rate,GDP,Status
4,0,2,9,0,15,42,13,16,9,17,17,120.4,1,0,0,1,0,0,22,0,5,5,5.0,14.8,5,5,5,15.8,8.9,1.4,3.51,1
4,0,6,11,0,15,7,13,24,16,17,19,100.6,1,1,0,1,0,0,22,0,7,9,5.0,13.928,8,9,7,14.342857142857142,11.1,0.6,2.02,1
4,3,1,8,0,15,26,13,24,8,11,12,121.4,0,0,0,0,0,0,20,0,6,7,4.0,13.0,6,7,5,13.8,12.4,0.5,1.79,0
4,14,1,10,1,15,43,13,10,10,19,21,109.7,0,0,0,1,0,0,29,0,5,0,0.0,7.3999999999999995,5,0,0,6.874999999999999,16.2,0.3,-0.92,0
4,3,2,13,0,15,39,13,9,9,19,21,127.6,1,0,0,1,0,0,18,0,6,6,6.0,11.666666666666666,6,8,5,13.2,11.1,0.6,2.02,1
4,3,6,11,0,15,41,13,10,9,16,17,132.4,1,0,0,1,0,1,22,0,7,8,6.0,13.516666666666666,8,9,7,13.771428571428572,11.1,0.6,2.02,1
4,16,1,14,1,16,39,13,24,9,19,21,133.4,0,0,0,1,0,1,21,0,6,6,6.0,11.5,6,7,6,13.285714285714286,12.4,0.5,1.79,1
4,0,1,13,0,15,52,13,10,8,19,21,126.1,0,0,0,1,0,1,19,0,6,7,5.0,12.333333333333334,6,7,6,12.833333333333334,12.7,3.7,-1.7,1
4,14,1,15,0,15,39,13,9,8,19,17,113.5,0,0,0,1,0,1,24,0,6,6,6.0,13.666666666666666,6,6,6,14.166666666666666,12.4,0.5,1.79,1
4,0,3,6,0,15,86,13,10,10,9,10,159.3,0,0,0,1,0,0,19,0,5,7,5.0,14.714285714285714,5,5,5,15.8,7.6,2.6,0.32,1
4,14,1,10,1,15,39,13,8,8,19,21,120.0,0,0,0,1,0,0,27,0,5,12,5.0,10.6,5,10,5,11.0,9.4,-0.8,-3.12,0
4,0,1,11,0,15,39,13,24,9,11,12,129.1,1,0,0,1,0,0,18,0,7,9,7.0,13.044444444444444,8,10,8,13.595,15.5,2.8,-4.06,1
3,8,1,15,0,8,39,13,24,16,0,6,130.0,0,0,0,1,0,0,34,0,6,10,0.0,7.3999999999999995,6,6,0,6.874999999999999,12.4,0.5,1.79,0
4,14,1,6,0,9,38,13,16,16,17,19,155.3,1,0,0,1,0,0,27,0,6,9,5.0,13.0,10,13,10,12.9,12.4,0.5,1.79,0
4,3,1,11,0,15,56,13,8,8,16,1,139.8,1,0,0,1,0,0,18,0,8,8,8.0,14.935,8,8,8,14.935,9.4,-0.8,-3.12,1
4,0,2,11,0,15,33,13,9,9,19,21,114.9,0,0,0,1,0,0,18,0,7,8,6.0,13.133333333333333,8,12,7,12.221428571428572,16.2,0.3,-0.92,1
4,16,1,13,0,16,39,13,9,24,19,21,131.9,0,0,0,1,0,1,21,0,6,7,6.0,12.0,6,7,6,12.0,13.9,-0.3,0.79,1
0,17,1,11,0,5,43,13,24,24,11,12,126.0,1,0,0,1,1,0,29,0,7,10,5.0,11.9,8,10,5,11.0,13.9,-0.3,0.79,0
4,0,3,2,0,15,52,13,9,9,11,6,128.2,1,0,0,1,1,1,19,0,2,0,0.0,7.3999999999999995,2,0,0,6.874999999999999,10.8,1.4,1.74,1
4,16,1,1,0,16,39,13,9,10,19,21,130.0,1,0,0,1,1,0,23,0,6,8,6.0,12.571428571428571,6,7,6,12.428571428571429,8.9,1.4,3.51,1
4,0,3,9,0,15,33,13,24,8,16,17,120.1,0,0,1,1,1,0,19,0,5,8,5.0,11.2,5,10,4,10.75,16.2,0.3,-0.92,0
4,3,1,11,0,15,67,13,10,9,4,0,130.8,0,0,0,1,1,0,24,0,7,8,7.0,11.975,8,8,8,13.75,13.9,-0.3,0.79,1
4,0,1,2,0,15,56,13,9,9,11,1,135.8,1,0,0,1,1,0,19,0,2,0,0.0,7.3999999999999995,2,0,0,6.874999999999999,15.5,2.8,-4.06,0
4,3,4,15,0,15,22,13,8,10,11,17,111.7,1,0,0,1,1,0,18,0,6,12,3.0,11.666666666666666,6,12,1,12.0,12.4,0.5,1.79,0
4,0,2,8,0,15,57,13,8,8,19,21,132.9,1,0,0,1,1,0,18,0,6,8,6.0,12.333333333333334,6,11,3,12.333333333333334,10.8,1.4,1.74,1
4,3,3,9,0,15,26,13,9,9,0,17,115.5,1,0,1,1,1,0,18,0,5,8,3.0,10.333333333333334,5,11,3,10.857142857142858,10.8,1.4,1.74,0
4,4,4,15,0,15,9,13,9,10,16,17,106.0,1,0,0,1,1,1,21,0,6,8,4.0,10.5,6,11,1,11.0,9.4,-0.8,-3.12,0
4,3,4,8,0,15,27,13,24,9,19,5,120.3,1,0,1,1,1,1,19,0,6,6,6.0,13.666666666666666,6,6,6,13.333333333333334,8.9,1.4,3.51,1
4,3,4,11,0,15,67,13,8,10,19,21,130.8,0,0,0,1,1,1,22,0,7,7,7.0,14.842857142857142,8,9,8,15.055555555555555,16.2,0.3,-0.92,1
3,14,1,14,1,15,26,13,10,10,19,3,117.0,0,0,0,1,1,0,33,0,6,8,6.0,12.0,6,6,6,11.666666666666666,10.8,1.4,1.74,1
4,0,6,3,0,15,17,13,9,9,19,21,110.2,1,0,0,1,1,0,20,0,6,8,5.0,12.2,6,7,5,12.2,10.8,1.4,1.74,0
4,14,1,10,1,7,54,13,16,16,17,19,155.7,1,0,0,1,1,0,34,0,2,1,0.0,7.3999999999999995,5,0,0,6.874999999999999,10.8,1.4,1.74,0
4,14,1,1,0,12,78,13,16,16,0,19,160.15000000000003,0,0,1,1,1,0,24,0,10,16,6.0,12.166666666666666,10,14,10,13.3,12.4,0.5,1.79,0
3,14,1,14,1,15,39,13,10,10,19,3,110.0,1,0,0,1,0,0,33,0,6,7,6.0,11.0,6,11,5,11.0,9.4,-0.8,-3.12,1
4,17,1,11,0,15,78,13,10,8,19,17,160.15000000000003,1,0,0,1,0,1,22,0,8,8,7.0,13.08,8,8,7,13.08,10.8,1.4,1.74,1
4,14,1,0,0,15,26,13,24,9,0,12,100.0,0,0,0,1,0,1,25,0,5,7,4.0,10.5,5,7,5,11.6,9.4,-0.8,-3.12,1
4,3,1,5,0,15,31,13,9,8,0,20,117.6,1,0,0,1,1,0,20,0,6,9,6.0,10.666666666666666,6,6,5,11.2,7.6,2.6,0.32,1
4,14,1,11,0,15,43,13,24,24,0,1,100.8,0,0,0,1,1,0,24,0,7,16,0.0,7.3999999999999995,7,7,0,6.874999999999999,13.9,-0.3,0.79,0
4,3,2,8,0,15,43,1,9,24,19,21,105.0,1,0,0,0,0,0,21,1,6,6,6.0,14.0,6,6,6,13.5,8.9,1.4,3.51,1
4,9,1,6,0,15,43,1,24,24,0,0,100.0,0,0,0,1,0,0,26,1,6,7,2.0,12.0,6,6,0,6.874999999999999,8.9,1.4,3.51,0
3,14,1,3,0,2,43,13,10,28,18,20,115.5,0,0,0,1,0,0,34,0,6,12,3.0,12.666666666666666,6,14,0,6.874999999999999,7.6,2.6,0.32,0
3,14,1,14,1,15,43,13,10,9,19,21,114.0,0,0,0,1,0,0,34,0,8,11,8.0,11.875,6,7,6,12.333333333333334,12.7,3.7,-1.7,1
4,0,5,8,0,15,46,13,10,24,11,12,124.9,1,0,0,1,0,0,18,0,6,6,6.0,13.666666666666666,6,6,6,13.333333333333334,8.9,1.4,3.51,1
4,0,5,11,0,15,41,13,10,10,16,17,120.3,1,0,0,1,0,1,18,0,7,7,7.0,13.75,8,9,8,14.47777777777778,12.4,0.5,1.79,1
4,0,4,11,0,15,18,13,16,16,17,19,111.5,1,0,1,0,0,0,19,0,7,10,4.0,11.96,7,7,0,6.874999999999999,13.9,-0.3,0.79,0
4,15,1,16,0,14,39,13,8,8,19,21,128.8,0,0,0,1,0,0,21,0,10,12,8.0,12.875,9,14,5,13.4,8.9,1.4,3.51,0
4,0,4,2,0,15,43,13,24,24,19,1,110.0,1,0,0,1,0,0,20,0,2,0,0.0,7.3999999999999995,2,0,0,6.874999999999999,16.2,0.3,-0.92,1
3,14,1,14,1,15,39,13,10,10,3,12,113.5,1,0,0,1,0,0,34,0,6,0,0.0,7.3999999999999995,6,0,0,6.874999999999999,9.4,-0.8,-3.12,0
0,14,1,1,0,13,43,13,10,10,19,3,160.0,0,0,0,1,0,0,34,0,10,16,10.5,14.63157894736842,10,14,12,14.23076923076923,15.5,2.8,-4.06,1
4,4,1,3,0,15,29,13,9,9,19,17,117.4,1,0,0,1,0,0,19,0,6,0,0.0,7.3999999999999995,6,0,0,6.874999999999999,11.1,0.6,2.02,0
4,6,1,5,0,15,39,13,16,24,17,5,122.2,0,0,1,1,0,0,20,0,10,12,10.0,13.0,10,11,11,12.272727272727272,11.1,0.6,2.02,1
4,0,2,13,0,15,28,13,10,8,0,17,118.2,1,0,0,1,0,0,19,0,6,0,0.0,7.3999999999999995,6,0,0,6.874999999999999,16.2,0.3,-0.92,0
4,0,1,16,0,15,16,13,24,24,0,0,106.7,1,0,0,1,0,0,20,0,6,15,4.0,14.2,6,16,4,13.25,15.5,2.8,-4.06,0
4,0,5,11,0,15,14,13,16,20,0,6,108.2,1,0,0,1,0,0,20,0,7,9,6.0,13.266666666666666,7,10,5,12.3,12.4,0.5,1.79,0
4,0,1,13,0,15,57,13,10,10,3,17,136.1,1,0,0,1,0,0,18,0,6,8,6.0,13.857142857142858,6,6,6,15.0,13.9,-0.3,0.79,1
4,0,1,16,0,15,40,13,9,9,19,21,139.8,1,0,0,1,0,0,19,0,5,6,5.0,13.4,5,5,5,12.8,10.8,1.4,1.74,1
4,0,3,8,0,15,76,13,24,8,0,17,157.0,1,0,0,1,0,0,18,0,6,6,6.0,12.666666666666666,6,7,6,12.571428571428571,10.8,1.4,1.74,1
4,3,2,11,0,15,28,13,10,10,19,21,131.0,1,0,0,1,0,0,18,0,7,7,6.0,12.516666666666666,7,7,6,12.516666666666666,7.6,2.6,0.32,0
4,0,2,16,0,15,54,13,10,8,19,17,137.0,0,0,0,1,0,0,18,0,5,12,5.0,13.142857142857142,5,6,5,11.4,9.4,-0.8,-3.12,1
4,0,1,9,0,15,36,13,15,9,0,12,121.8,0,0,0,1,0,0,18,0,5,5,5.0,12.6,5,5,5,14.0,11.1,0.6,2.02,1
4,3,1,15,0,15,43,13,24,24,0,12,131.0,1,0,0,1,0,0,21,0,6,12,3.0,11.0,6,12,2,11.0,9.4,-0.8,-3.12,0
4,0,2,9,0,15,26,13,9,9,19,17,118.6,1,0,0,1,0,0,19,0,5,8,5.0,10.8,5,9,4,11.25,16.2,0.3,-0.92,1
4,0,1,2,0,15,48,13,16,9,17,21,122.3,0,0,0,1,0,0,19,0,2,0,0.0,7.3999999999999995,2,0,0,6.874999999999999,10.8,1.4,1.74,0
4,0,1,0,0,15,40,13,8,8,19,21,127.9,0,0,0,1,0,1,19,0,5,5,5.0,12.8,5,5,5,14.2,9.4,-0.8,-3.12,1
4,0,1,16,0,15,39,13,9,8,0,17,121.3,1,0,0,1,0,0,19,0,6,15,6.0,14.166666666666666,6,13,6,12.2,15.5,2.8,-4.06,1
4,3,6,12,0,15,28,13,24,24,0,12,117.1,1,0,0,1,0,0,19,0,7,12,5.0,12.1,7,0,0,6.874999999999999,13.9,-0.3,0.79,0
4,16,1,16,0,16,78,13,10,10,19,21,160.0,1,0,0,1,0,0,20,0,6,7,6.0,14.166666666666666,6,16,5,13.77777777777778,12.4,0.5,1.79,1
4,3,3,13,0,15,40,13,24,27,11,6,122.6,1,0,0,1,0,0,18,0,6,7,6.0,13.0,6,6,6,13.666666666666666,12.4,0.5,1.79,1
4,3,6,11,0,15,41,13,24,10,4,21,128.0,1,0,0,1,0,0,19,0,7,7,7.0,13.467142857142855,8,9,8,15.011111111111113,12.4,0.5,1.79,1
4,0,3,11,0,15,49,13,9,9,11,5,124.9,1,0,0,1,0,1,18,0,7,9,7.0,13.2375,8,9,7,13.742857142857144,13.9,-0.3,0.79,0
4,3,2,5,0,15,39,13,10,10,19,21,123.7,1,0,0,1,0,0,18,0,6,6,6.0,12.333333333333334,6,6,6,13.0,7.6,2.6,0.32,1
4,0,4,9,0,15,34,13,24,9,0,5,120.1,1,0,0,1,0,0,19,0,5,7,5.0,12.4,5,5,5,14.6,8.9,1.4,3.51,1
4,3,6,11,0,15,64,13,24,9,5,6,131.7,1,0,0,1,0,0,19,0,7,8,5.0,14.0,7,7,0,6.874999999999999,13.9,-0.3,0.79,0
4,5,1,13,0,15,39,13,8,10,19,17,133.2,0,0,0,1,0,0,20,0,9,15,9.0,11.666666666666666,7,8,7,11.714285714285714,7.6,2.6,0.32,1
4,0,1,0,0,15,20,13,24,8,5,21,109.3,0,0,1,0,0,1,19,0,6,7,5.0,12.0,6,9,4,12.5,12.4,0.5,1.79,0
4,3,1,0,0,15,26,13,9,9,11,12,113.0,1,0,0,1,0,0,20,0,5,7,4.0,12.2,5,5,4,11.5,7.6,2.6,0.32,1
4,0,1,8,0,15,70,13,24,24,8,24,157.9,0,0,1,1,0,1,18,0,6,6,6.0,14.833333333333334,6,6,6,14.833333333333334,8.9,1.4,3.51,1
4,4,1,11,0,15,95,13,9,24,0,5,160.15000000000003,0,0,0,1,0,0,18,0,7,8,7.0,17.0,8,8,8,17.208333333333336,13.9,-0.3,0.79,1
4,0,5,11,0,15,38,13,10,10,19,21,128.8,1,0,0,1,0,0,19,0,7,7,6.0,12.666666666666666,7,7,6,12.666666666666666,7.6,2.6,0.32,1
4,0,6,8,0,15,19,13,9,24,0,0,110.1,1,0,0,1,0,1,19,0,6,8,6.0,12.666666666666666,6,10,5,12.0,12.4,0.5,1.79,1
4,0,3,13,0,15,46,13,24,22,19,1,121.0,1,0,0,1,0,1,19,0,6,7,6.0,11.333333333333334,6,6,6,11.5,12.4,0.5,1.79,1
4,0,3,11,0,15,56,13,9,9,19,17,131.7,1,0,0,1,0,1,19,0,7,10,7.0,13.605,8,11,8,12.33125,15.5,2.8,-4.06,1
4,3,5,3,0,15,41,13,10,8,11,3,119.1,1,0,0,1,0,1,19,0,6,10,5.0,12.0,6,9,5,10.8,9.4,-0.8,-3.12,1
4,0,4,15,0,15,41,13,22,9,19,21,124.7,1,0,0,1,0,0,19,0,5,10,0.0,7.3999999999999995,5,10,0,6.874999999999999,7.6,2.6,0.32,0
4,3,1,15,0,15,16,13,24,10,19,1,117.2,1,0,0,1,0,0,20,0,6,8,5.0,11.2,6,12,3,11.666666666666666,7.6,2.6,0.32,0
4,0,1,9,0,15,45,13,16,9,17,1,128.8,0,0,0,1,0,0,18,0,5,10,5.0,13.375,5,9,5,14.166666666666666,13.9,-0.3,0.79,1
4,0,1,11,0,15,47,13,24,9,19,21,131.5,0,0,0,1,0,1,20,0,7,8,6.0,13.863333333333337,8,9,7,14.178571428571429,11.1,0.6,2.02,1
4,0,1,16,0,15,38,13,24,8,0,17,123.4,0,0,0,1,0,0,19,0,5,6,5.0,12.4,5,6,5,13.4,7.6,2.6,0.32,1
4,0,1,3,0,15,48,13,10,10,19,21,132.8,1,0,0,1,0,0,18,0,6,7,6.0,13.333333333333334,6,8,5,11.8,7.6,2.6,0.32,1
4,5,1,3,0,15,18,13,16,10,17,12,108.7,1,0,0,1,0,0,21,0,6,10,3.0,12.666666666666666,6,12,3,10.0,9.4,-0.8,-3.12,0
4,0,1,3,0,15,38,13,8,10,3,3,138.1,0,0,0,1,0,0,19,0,6,8,6.0,12.0,6,10,4,11.5,7.6,2.6,0.32,0
4,0,1,9,0,15,40,13,8,8,19,21,126.5,0,0,0,1,0,1,18,0,5,5,5.0,10.6,5,5,5,11.8,12.4,0.5,1.79,1
4,3,2,13,0,15,42,13,24,10,16,21,127.4,1,0,0,1,0,1,18,0,6,8,6.0,12.25,6,7,6,11.857142857142858,12.7,3.7,-1.7,1
4,0,3,13,0,15,33,13,9,24,19,1,123.6,1,0,0,1,0,0,20,0,6,10,4.0,11.0,6,9,6,11.833333333333334,9.4,-0.8,-3.12,1
4,14,1,14,1,15,26,13,24,9,3,5,122.0,0,0,0,1,0,1,24,0,6,11,5.0,11.0,6,9,5,12.6,11.1,0.6,2.02,1
4,0,1,0,0,15,37,13,9,24,0,15,118.2,0,0,0,1,0,0,19,0,6,6,6.0,13.166666666666666,6,9,6,13.0,10.8,1.4,1.74,0
4,0,1,11,0,15,36,13,9,10,19,17,123.9,1,0,0,1,0,1,18,0,7,9,7.0,12.855555555555554,8,12,7,12.761111111111113,15.5,2.8,-4.06,1
4,0,2,11,0,15,45,13,9,9,19,21,125.8,1,0,0,1,0,0,18,0,7,8,7.0,14.91875,8,8,8,15.355,15.5,2.8,-4.06,1
4,3,5,3,0,15,41,13,22,22,0,0,123.3,1,0,0,1,0,0,21,0,6,13,4.0,11.5,6,10,3,11.0,10.8,1.4,1.74,0
4,3,2,0,0,15,31,13,24,9,11,0,124.4,0,0,0,1,0,0,19,0,5,5,5.0,14.2,5,5,5,14.2,7.6,2.6,0.32,1
4,3,1,8,0,15,43,13,9,10,16,17,126.0,0,0,0,1,0,1,19,0,6,6,6.0,12.5,6,7,6,13.0,15.5,2.8,-4.06,1
4,3,3,13,0,15,33,13,9,9,16,5,121.5,0,0,0,1,0,0,19,0,6,10,5.0,11.666666666666666,6,12,4,11.0,13.9,-0.3,0.79,1
4,14,1,11,0,8,39,13,15,15,14,15,130.0,0,0,0,1,0,0,29,0,8,8,7.0,14.257142857142856,8,8,7,14.257142857142856,12.7,3.7,-1.7,1
4,5,1,13,0,15,33,13,9,9,0,5,117.0,1,0,0,1,0,0,21,0,6,13,3.0,12.0,6,12,2,11.333333333333334,16.2,0.3,-0.92,0
4,3,2,12,0,15,43,13,10,10,5,1,108.0,0,0,0,1,0,0,20,0,7,8,7.0,12.457142857142856,8,8,8,13.5625,15.5,2.8,-4.06,1
4,3,1,11,0,15,40,13,15,8,0,12,132.3,1,0,0,1,0,0,19,0,7,7,6.0,11.683333333333332,7,7,6,11.683333333333332,7.6,2.6,0.32,1
4,17,1,14,1,15,67,13,9,15,0,3,148.0,0,0,0,1,0,0,26,0,6,10,3.0,11.666666666666666,6,8,5,12.0,9.4,-0.8,-3.12,1
4,3,2,15,0,15,33,13,10,10,19,5,122.6,1,0,1,0,0,0,20,0,6,8,4.0,11.75,6,6,6,13.166666666666666,11.1,0.6,2.02,0
4,14,1,3,0,15,39,13,10,9,19,12,102.5,0,0,0,1,0,0,27,0,6,9,5.0,13.2,6,10,5,12.0,7.6,2.6,0.32,1
4,0,2,11,0,15,29,13,28,28,9,10,113.3,1,0,0,1,0,0,20,0,7,8,4.0,11.95,7,8,4,11.95,7.6,2.6,0.32,0
4,0,5,3,0,15,56,13,10,9,19,12,133.0,1,0,0,1,0,0,18,0,6,8,5.0,12.4,6,12,5,10.4,9.4,-0.8,-3.12,0
4,8,1,11,0,8,54,13,24,24,19,12,140.0,0,0,0,1,0,0,33,0,7,8,6.0,14.35,8,10,6,14.583333333333334,16.2,0.3,-0.92,0
4,5,1,3,0,15,54,13,16,24,5,6,128.3,1,0,0,1,0,0,34,0,10,16,10.5,12.61904761904762,10,16,12,12.789473684210526,12.4,0.5,1.79,1
4,14,1,8,0,5,43,13,9,9,5,0,104.0,0,0,1,0,0,0,27,0,6,6,5.0,12.0,6,6,0,6.874999999999999,11.1,0.6,2.02,0
4,4,3,5,0,15,40,13,24,10,11,12,122.3,1,0,0,0,0,0,19,0,6,6,6.0,12.166666666666666,6,6,0,6.874999999999999,15.5,2.8,-4.06,0
4,3,2,15,0,15,58,13,24,9,0,3,135.0,0,0,0,1,0,0,20,0,6,0,0.0,7.3999999999999995,6,0,0,6.874999999999999,11.1,0.6,2.02,0
4,4,2,9,0,15,41,13,16,16,11,17,119.1,1,0,1,0,0,0,20,0,5,9,3.0,10.0,5,9,3,10.571428571428571,10.8,1.4,1.74,0
4,3,3,11,0,15,56,13,8,24,19,0,129.0,1,0,0,1,0,1,18,0,7,7,6.0,13.05,7,7,6,13.05,7.6,2.6,0.32,1
4,14,1,16,0,15,43,13,24,9,19,21,160.15000000000003,1,0,0,1,0,0,24,0,6,10,2.0,11.0,6,6,0,6.874999999999999,8.9,1.4,3.51,0
4,3,4,5,0,15,64,13,24,16,0,15,160.15000000000003,1,0,0,1,0,0,20,0,6,7,6.0,11.5,6,6,6,12.0,16.2,0.3,-0.92,1
4,0,1,15,0,15,33,13,9,8,19,5,121.5,0,0,0,1,0,1,21,0,6,7,6.0,12.0,6,6,6,12.5,13.9,-0.3,0.79,1
4,14,1,9,0,15,54,13,22,16,0,6,118.0,1,0,0,1,0,0,24,0,5,5,0.0,7.3999999999999995,5,5,0,6.874999999999999,7.6,2.6,0.32,0
4,6,1,3,0,15,52,13,24,24,0,1,134.0,0,0,0,1,0,0,21,0,6,0,0.0,7.3999999999999995,6,0,0,6.874999999999999,12.4,0.5,1.79,0
4,0,4,11,0,15,57,13,8,8,19,5,129.8,1,0,0,1,0,0,18,0,8,8,7.0,12.242857142857144,8,8,7,12.242857142857144,12.7,3.7,-1.7,1
4,14,1,10,1,9,39,13,9,24,5,0,152.0,1,0,0,1,0,0,27,0,5,0,0.0,7.3999999999999995,5,0,0,6.874999999999999,8.9,1.4,3.51,0
